Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,83.364662,83.364662,80.690697,80.690697,61.759106,8577687
2012-01-03,82.420906,84.937576,81.949036,84.308411,64.528030,17462447
2012-01-04,84.780289,85.252159,83.521950,83.679245,64.046478,10543460
2012-01-05,84.151115,84.622993,83.207367,84.465706,64.648422,9565660
2012-01-06,84.780289,85.724037,83.836533,83.993828,64.287262,7686986
2012-01-09,84.151115,86.038620,83.993828,84.465706,64.648422,7545211
2012-01-10,85.094872,86.667786,85.094872,86.353203,66.093094,8004866
2012-01-11,86.510498,88.397995,86.510498,87.296951,66.815414,10942718
2012-01-12,87.768829,88.083412,85.566742,86.510498,66.213478,9163859
2012-01-13,87.768829,87.768829,86.038620,86.510498,66.213478,13229550
2012-01-16,88.083412,88.240707,84.937576,84.937576,65.009598,13636437
2012-01-17,86.038620,86.353203,84.151115,85.881332,65.731911,8626005
2012-01-18,86.353203,87.611542,85.094872,86.038620,65.852318,8900018
2012-01-30,87.926125,88.712585,86.825081,87.139664,66.695015,7382456
2012-01-31,87.139664,91.071960,86.982368,91.071960,69.704727,13492755
2012-02-01,91.229248,93.431335,90.600082,91.229248,69.825104,15059906
2012-02-02,92.644875,92.644875,89.970917,91.071960,69.704727,8367250
2012-02-03,90.914665,96.577171,90.600082,95.948006,73.436768,24824559
2012-02-06,97.520920,97.835510,94.375084,94.375084,72.232872,9097739
2012-02-07,94.375084,96.105293,93.588631,95.318840,72.955208,8964230
2012-02-08,97.835510,100.037590,97.835510,98.307381,75.242584,22095873
2012-02-09,98.779259,100.981346,98.464676,99.093842,75.844521,16122898
2012-02-10,99.723007,100.037590,97.835510,98.464676,75.362961,7514059
2012-02-13,99.723007,100.037590,97.992798,99.408424,76.085289,7994058
2012-02-14,99.251137,100.037590,96.419884,96.734467,74.038704,8229290
2012-02-15,97.363632,98.779259,96.105293,97.520920,74.640633,8280787
2012-02-16,96.734467,97.363632,94.375084,94.375084,72.232872,14457205
2012-02-17,95.476128,96.105293,92.959457,93.116753,71.269775,7440310
2012-02-20,95.633423,95.633423,94.060501,94.532379,72.353256,4497373
2012-02-21,95.161545,96.734467,94.689674,95.476128,73.075584,7401529
2012-02-22,95.476128,97.520920,95.476128,97.206337,74.399864,7681900
2012-02-23,97.520920,98.779259,96.577171,97.206337,74.399864,7577635
2012-02-24,97.678215,97.835510,95.161545,95.948006,73.436768,5147121
2012-02-29,97.363632,98.307381,96.577171,97.520920,74.640633,5522855
2012-03-01,97.520920,100.194885,96.734467,98.621964,75.483368,10952890
2012-03-02,99.093842,100.509468,97.835510,97.835510,74.881416,6406563
2012-03-05,97.992798,98.150093,94.689674,94.689674,72.473663,6744788
2012-03-06,94.532379,95.004257,92.173004,94.375084,72.232872,6497477
2012-03-07,92.330292,95.318840,92.330292,94.217796,72.112480,4639148
2012-03-08,95.004257,95.948006,93.903214,95.161545,72.834808,4175678
2012-03-09,95.161545,96.577171,94.846962,95.633423,73.195976,2917507
2012-03-12,95.476128,95.633423,92.330292,92.644875,70.908600,6033371
2012-03-13,93.431335,94.060501,92.644875,92.959457,71.149376,3850168
2012-03-14,94.375084,95.318840,94.217796,94.375084,72.232872,3896579
2012-03-15,94.846962,95.318840,93.745918,94.217796,72.112480,2480103
2012-03-16,94.375084,94.846962,93.903214,94.060501,71.992096,2556394
2012-03-19,94.689674,94.689674,92.959457,93.588631,71.630936,2246779
2012-03-20,93.588631,94.060501,92.487587,92.959457,71.149376,2181295
2012-03-21,92.959457,93.116753,90.914665,91.858421,70.306664,4634061
2012-03-22,91.858421,92.959457,91.386543,92.959457,71.149376,3146381
2012-03-23,94.217796,95.318840,93.903214,94.532379,72.353256,4786644
2012-03-26,94.532379,95.161545,94.060501,94.060501,71.992096,2930858
2012-03-27,94.846962,95.633423,94.060501,94.846962,72.594048,4312366
2012-03-28,94.375084,94.375084,91.701126,92.330292,70.667831,5927199
2012-03-29,91.071960,91.071960,85.881332,88.083412,67.417351,12497153
2012-03-30,86.510498,88.869873,86.510498,88.712585,67.898903,5332763
2012-04-02,87.139664,87.454247,83.207367,83.364662,63.805706,11420810
2012-04-03,83.207367,84.465706,81.162575,82.106323,62.842602,7941290
2012-04-05,80.061531,81.162575,79.275070,80.690697,61.759106,5594061
2012-04-06,81.162575,83.207367,79.904243,82.735497,63.324154,5953901
2012-04-09,81.319870,81.319870,79.904243,80.218826,61.397942,2894619
2012-04-10,80.533409,81.477158,79.432365,79.589661,60.916393,2885719
2012-04-11,79.589661,80.218826,78.803200,79.746948,61.036777,1585587
2012-04-12,79.746948,80.376114,78.960487,79.432365,60.796001,3131122
2012-04-13,80.218826,80.847992,79.746948,80.061531,61.277557,3963969
2012-04-16,79.432365,80.690697,78.960487,79.432365,60.796001,2684818
2012-04-17,79.746948,80.218826,77.072990,77.072990,58.990185,6224735
2012-04-18,77.859444,78.016739,74.163086,74.870903,57.304741,11961207
2012-04-19,74.949547,77.387573,74.084442,76.837051,58.809605,8068442
2012-04-20,76.837051,76.915695,74.241737,74.713608,57.184361,6681212
2012-04-23,74.556320,75.500069,72.590172,73.612572,56.341644,6564868
2012-04-24,72.354233,73.612572,71.331833,71.882355,55.017376,10081262
2012-04-25,72.511528,72.904755,71.725067,72.354233,55.378540,6517821
2012-04-26,72.668816,73.062042,72.039650,72.354233,55.378540,3056103
2012-04-27,72.826111,74.084442,72.118294,72.511528,55.498920,6779755
2012-04-30,72.511528,73.612572,72.432877,73.612572,56.341644,3316765
2012-05-02,74.713608,77.387573,74.399025,76.837051,58.809605,6446616
2012-05-03,76.837051,78.645905,75.971947,77.859444,59.592121,6103941
2012-05-04,77.859444,80.847992,77.151634,79.589661,60.916393,7803330
2012-05-07,78.803200,79.117783,77.780800,78.803200,60.314445,4389929
2012-05-08,79.432365,80.376114,78.803200,79.432365,60.796001,2994434
2012-05-09,78.645905,79.117783,76.837051,77.780800,59.531921,3679784
2012-05-10,77.387573,78.252678,77.151634,77.230278,59.110561,3234751
2012-05-11,77.072990,77.230278,75.500069,75.500069,57.786297,3096156
2012-05-14,75.500069,76.286530,74.713608,75.028191,57.425129,2216898
2012-05-15,72.904755,75.500069,72.826111,75.500069,57.786297,2654937
2012-05-16,75.500069,75.893295,73.455276,73.612572,56.341644,3557082
2012-05-17,75.028191,75.971947,73.612572,75.971947,58.147457,3882592
2012-05-18,74.713608,75.342781,73.927155,74.241737,56.823204,3604129
2012-05-21,75.028191,76.601112,74.949547,75.028191,57.425129,3512579
2012-05-22,76.286530,77.466217,76.286530,77.072990,58.990185,4215095
2012-05-23,76.286530,76.601112,75.500069,75.971947,58.147457,2581189
2012-05-24,76.915695,77.308922,75.185486,75.421425,57.726105,2619971
2012-05-25,75.971947,76.522469,75.185486,75.185486,57.545521,1886938
2012-05-28,75.185486,75.814651,74.320381,74.713608,57.184361,2056051
2012-05-29,76.758408,79.904243,76.758408,79.904243,61.157173,5103253
2012-05-30,81.477158,82.892784,81.005280,81.005280,61.999874,13054080
2012-05-31,80.061531,81.791740,79.904243,81.319870,62.240673,5276816
2012-06-01,81.005280,81.162575,77.072990,77.387573,59.230965,4400101
2012-06-04,74.241737,76.679756,74.241737,76.522469,58.568825,5666537
2012-06-05,78.174026,81.005280,77.702156,79.275070,60.675610,4918247
2012-06-06,79.589661,80.690697,79.275070,79.589661,60.916393,2374567
2012-06-07,81.005280,81.005280,77.859444,78.645905,60.194069,3306592
2012-06-08,79.432365,80.690697,78.645905,78.645905,60.194069,3039573
2012-06-11,79.746948,82.106323,79.746948,81.634453,62.481430,5110246
2012-06-12,80.847992,81.005280,79.904243,81.005280,61.999874,2874911
2012-06-13,81.791740,83.207367,81.162575,81.162575,62.120266,5515862
2012-06-14,81.791740,82.735497,81.477158,81.634453,62.481430,2923864
2012-06-15,82.420906,82.735497,82.106323,82.578201,63.203766,3346010
2012-06-18,84.622993,84.937576,83.207367,83.207367,63.685326,4134353
2012-06-19,83.993828,83.993828,82.578201,83.993828,64.287262,3260818
2012-06-20,83.993828,84.465706,83.364662,84.308411,64.528030,3380341
2012-06-21,84.308411,84.308411,82.735497,82.735497,63.324154,2410169
2012-06-22,81.791740,83.050079,81.162575,82.892784,63.444542,2633322
2012-06-25,82.892784,82.892784,81.477158,82.263618,62.962990,1485137
2012-06-26,82.263618,83.521950,81.477158,81.477158,62.361050,2977268
2012-06-27,82.106323,82.420906,81.162575,81.319870,62.240673,2515706
2012-06-28,82.106323,82.106323,81.162575,81.477158,62.361050,2820235
2012-06-29,81.634453,82.578201,81.634453,82.420906,63.083378,1868501
2012-07-02,83.050079,83.207367,80.847992,81.791740,62.601818,3766883
2012-07-03,81.791740,83.050079,81.319870,82.106323,62.842602,3289427
2012-07-04,82.735497,84.151115,82.263618,82.892784,63.444542,6309927
2012-07-05,83.050079,83.521950,82.578201,82.892784,63.444542,2696898
2012-07-06,83.364662,84.308411,82.578201,83.993828,64.287262,3185162
